title,description,basePrice,retroPrice,stockQuantity,Images,isRetro,hasShorts,hasScoks,hasPlayerEdtition,adultSizes,KidsSizes,category,avaialbePatches,allowsNumberOnShirt,allowsNameOnShirt,slug,isActive,feature,reviews
Maglia Away FC Barcelona x Travis Scott - Edizione Speciale,Maglia Away FC Barcelona x Travis Scott - Edizione Speciale,35,35,1,[],FALSE,TRUE,TRUE,TRUE,"[""S"",""M"",""L"",""XL"",""XXL"",""3XL""]","[""XS"".""S"",""M"",""L""]",2025/26,"[""coppa-italia"",""champions-league"",""serie-a""]",TRUE,TRUE,,TRUE,TRUE,[]
Maglia Home FC Barcelona x Travis Scott - Edizione Speciale,Maglia Home FC Barcelona x Travis Scott - Edizione Speciale,35,35,1,[],FALSE,TRUE,TRUE,TRUE,"[""S"",""M"",""L"",""XL"",""XXL"",""3XL""]","[""XS"".""S"",""M"",""L""]",2025/26,"[""coppa-italia"",""champions-league"",""serie-a""]",TRUE,TRUE,,TRUE,TRUE,[]
Maglia Inter 2025/26 Home,Maglia Inter 2025/26 Home,30,30,1,[],FALSE,TRUE,TRUE,TRUE,"[""S"",""M"",""L"",""XL"",""XXL"",""3XL""]","[""XS"".""S"",""M"",""L""]",2025/26,"[""coppa-italia"",""champions-league"",""serie-a""]",TRUE,TRUE,,TRUE,TRUE,[]
Maglia INTER x VR46 EDIZIONE LIMITATA,Maglia INTER x VR46 EDIZIONE LIMITATA,30,30,1,[],FALSE,TRUE,TRUE,TRUE,"[""S"",""M"",""L"",""XL"",""XXL"",""3XL""]","[""XS"".""S"",""M"",""L""]",2025/26,"[""coppa-italia"",""champions-league"",""serie-a""]",TRUE,TRUE,,TRUE,TRUE,[]
Maglia Juventus 2025/26 Home,Maglia Juventus 2025/26 Home,30,30,1,[],FALSE,TRUE,TRUE,TRUE,"[""S"",""M"",""L"",""XL"",""XXL"",""3XL""]","[""XS"".""S"",""M"",""L""]",2025/26,"[""coppa-italia"",""champions-league"",""serie-a""]",TRUE,TRUE,,TRUE,TRUE,[]
Maglia Milan 2025/26 Home,Maglia Milan 2025/26 Home,30,30,1,[],FALSE,TRUE,TRUE,TRUE,"[""S"",""M"",""L"",""XL"",""XXL"",""3XL""]","[""XS"".""S"",""M"",""L""]",2025/26,"[""coppa-italia"",""champions-league"",""serie-a""]",TRUE,TRUE,,TRUE,TRUE,[]
Maglia Napoli Partenope Edizione Speciale,Maglia Napoli Partenope Edizione Speciale,35,35,1,[],FALSE,TRUE,TRUE,TRUE,"[""S"",""M"",""L"",""XL"",""XXL"",""3XL""]","[""XS"".""S"",""M"",""L""]",2025/26,"[""coppa-italia"",""champions-league"",""serie-a""]",TRUE,TRUE,,TRUE,FALSE,[]
Maglia Away FC Barcelona x Travis Scott - Edizione Speciale,Maglia Away FC Barcelona x Travis Scott - Edizione Speciale,35,35,1,[],FALSE,TRUE,TRUE,TRUE,"[""S"",""M"",""L"",""XL"",""XXL"",""3XL""]","[""XS"".""S"",""M"",""L""]",2024/25,"[""coppa-italia"",""champions-league"",""serie-a""]",TRUE,TRUE,,TRUE,FALSE,[]
Maglia Home FC Barcelona x Travis Scott - Edizione Speciale,Maglia Home FC Barcelona x Travis Scott - Edizione Speciale,30,35,1,[],FALSE,TRUE,TRUE,TRUE,"[""S"",""M"",""L"",""XL"",""XXL"",""3XL""]","[""XS"".""S"",""M"",""L""]",2024/25,"[""coppa-italia"",""champions-league"",""serie-a""]",TRUE,TRUE,,TRUE,FALSE,[]
Maglia Tottenham Away,Maglia Tottenham Away,30,35,1,[],FALSE,TRUE,TRUE,TRUE,"[""S"",""M"",""L"",""XL"",""XXL"",""3XL""]","[""XS"".""S"",""M"",""L""]",2024/25,"[""coppa-italia"",""champions-league"",""serie-a""]",TRUE,TRUE,,TRUE,FALSE,[]
Maglia Tottenham Third,Maglia Tottenham Third,30,35,1,[],FALSE,TRUE,TRUE,TRUE,"[""S"",""M"",""L"",""XL"",""XXL"",""3XL""]","[""XS"".""S"",""M"",""L""]",2024/25,"[""coppa-italia"",""champions-league"",""serie-a""]",TRUE,TRUE,,TRUE,FALSE,[]
Maglia Tottenham Home,Maglia Tottenham Home,30,35,1,[],FALSE,TRUE,TRUE,TRUE,"[""S"",""M"",""L"",""XL"",""XXL"",""3XL""]","[""XS"".""S"",""M"",""L""]",2024/25,"[""coppa-italia"",""champions-league"",""serie-a""]",TRUE,TRUE,,TRUE,FALSE,[]
Maglia Roma Away,Maglia Roma Away,30,35,1,[],FALSE,TRUE,TRUE,TRUE,"[""S"",""M"",""L"",""XL"",""XXL"",""3XL""]","[""XS"".""S"",""M"",""L""]",2024/25,"[""coppa-italia"",""champions-league"",""serie-a""]",TRUE,TRUE,,TRUE,FALSE,[]
Maglia Roma Third,Maglia Roma Third,30,35,1,[],FALSE,TRUE,TRUE,TRUE,"[""S"",""M"",""L"",""XL"",""XXL"",""3XL""]","[""XS"".""S"",""M"",""L""]",2024/25,"[""coppa-italia"",""champions-league"",""serie-a""]",TRUE,TRUE,,TRUE,FALSE,[]
Maglia Roma Home,Maglia Roma Home,30,35,1,[],FALSE,TRUE,TRUE,TRUE,"[""S"",""M"",""L"",""XL"",""XXL"",""3XL""]","[""XS"".""S"",""M"",""L""]",2024/25,"[""coppa-italia"",""champions-league"",""serie-a""]",TRUE,TRUE,,TRUE,FALSE,[]
Maglia Real Madrid Away,Maglia Real Madrid Away,30,35,1,[],FALSE,TRUE,TRUE,TRUE,"[""S"",""M"",""L"",""XL"",""XXL"",""3XL""]","[""XS"".""S"",""M"",""L""]",2024/25,"[""coppa-italia"",""champions-league"",""serie-a""]",TRUE,TRUE,,TRUE,FALSE,[]
Maglia Real Madrid Third,Maglia Real Madrid Third,30,35,1,[],FALSE,TRUE,TRUE,TRUE,"[""S"",""M"",""L"",""XL"",""XXL"",""3XL""]","[""XS"".""S"",""M"",""L""]",2024/25,"[""coppa-italia"",""champions-league"",""serie-a""]",TRUE,TRUE,,TRUE,FALSE,[]
